timestamp,src_ip,query,qtype,rcode,answers,ttl,label,attack_type
2026-01-14T00:59:59Z,10.57.85.237,amazon.in,A,NOERROR,2,51960,0,
2026-01-19T07:48:05Z,192.168.117.95,example.com,A,NOERROR,1,229,0,
2026-01-23T22:45:29Z,172.21.217.67,microsoft.com,A,NOERROR,2,53872,0,
2026-01-18T09:22:55Z,192.168.130.79,github.com,A,NOERROR,2,5169,0,
2026-01-08T17:48:30Z,166.159.147.247,cloudflare.com,A,NOERROR,3,5964,0,
2026-01-04T15:09:20Z,10.75.179.30,example.com,A,NOERROR,3,50092,0,
2026-01-27T09:52:24Z,10.251.142.193,microsoft.com,CNAME,NOERROR,2,8567,0,
2026-01-25T22:48:48Z,192.168.244.214,example.com,A,NOERROR,1,55169,0,
2026-01-16T03:07:52Z,10.165.71.98,cloudflare.com,A,NOERROR,2,61256,0,
2026-01-26T10:13:36Z,172.31.160.14,wikipedia.org,A,NOERROR,1,32878,0,
2026-01-08T16:17:57Z,172.27.108.216,example.com,MX,NOERROR,2,68985,0,
2026-01-28T01:36:16Z,10.213.180.171,workspace.local,MX,NOERROR,2,70806,0,
2026-01-08T19:44:03Z,192.168.181.55,github.com,AAAA,NOERROR,2,24545,0,
2026-01-23T03:12:20Z,192.168.234.173,stackoverflow.com,A,NXDOMAIN,0,5647,0,
2026-01-06T21:47:12Z,10.139.212.34,wikipedia.org,MX,NOERROR,1,30912,0,
2026-01-16T23:15:58Z,172.25.235.54,google.com,A,NOERROR,3,78050,0,
2026-01-22T07:24:09Z,192.168.131.85,xhko21s72lb7yeohuu.com,A,NXDOMAIN,0,0,1,DGA_NXDOMAIN_BURST
2026-01-03T23:16:43Z,10.136.17.100,github.com,A,NOERROR,1,65786,0,
2026-01-01T05:47:27Z,10.194.167.61,workspace.local,AAAA,NXDOMAIN,0,47471,0,
2026-01-27T18:50:13Z,10.89.56.7,microsoft.com,A,NOERROR,2,67008,0,
2026-01-21T00:14:56Z,172.20.212.19,workspace.local,A,NOERROR,3,34646,0,
2026-01-07T05:08:01Z,48.187.7.70,cloudflare.com,A,NOERROR,1,78192,0,
2026-01-31T00:37:25Z,192.168.229.31,amazon.in,A,NOERROR,2,12658,0,
2026-01-15T09:31:36Z,10.60.233.141,example.com,A,NOERROR,2,14514,0,
2026-01-09T03:39:49Z,172.22.24.10,github.com,AAAA,NOERROR,1,63032,0,
2026-01-31T09:04:05Z,172.20.117.62,google.com,A,NOERROR,3,20518,0,
2026-01-26T17:13:12Z,192.168.119.241,98hzi8edmovd0c0ujf.net,A,NOERROR,2,53412,0,
2026-01-25T15:01:22Z,192.168.90.195,github.com,MX,NOERROR,2,61817,0,
2026-01-25T17:44:02Z,199.241.53.230,example.com,A,NOERROR,1,47066,0,
2026-01-11T19:55:14Z,10.255.206.188,cloudflare.com,A,NOERROR,2,36775,0,
2026-01-18T06:13:27Z,10.204.29.130,cloudflare.com,TXT,NOERROR,2,61748,0,
2026-01-28T01:29:22Z,10.56.124.95,cloudflare.com,A,NOERROR,1,37815,0,
2026-01-29T09:06:57Z,10.113.184.32,google.com,TXT,NOERROR,1,52965,0,
2026-01-22T07:56:09Z,192.168.131.85,o0eoccn9uh6j3flbo.net,A,NXDOMAIN,0,0,1,DGA_NXDOMAIN_BURST
2026-01-16T12:27:47Z,10.233.229.254,github.com,A,NOERROR,3,14954,0,
2026-01-06T15:23:07Z,172.29.76.182,amazon.in,A,NOERROR,3,10638,0,
2026-01-10T16:27:53Z,172.31.161.164,google.com,A,NOERROR,3,13801,0,
2026-01-15T00:45:14Z,10.141.221.182,google.com,AAAA,NOERROR,1,43101,0,
2026-01-05T09:22:56Z,136.90.173.116,example.com,A,NOERROR,3,18920,0,
2026-01-09T06:39:02Z,10.233.130.233,google.com,A,NOERROR,3,68481,0,
2026-01-29T07:13:16Z,10.183.120.36,google.com,A,NOERROR,2,33909,0,
2026-01-11T13:55:53Z,10.183.179.233,example.com,A,NOERROR,2,61696,0,
2026-01-16T20:29:12Z,170.222.201.178,example.com,A,NOERROR,3,60696,0,
2026-01-16T03:16:22Z,192.168.131.85,stackoverflow.com,A,NOERROR,1,85932,0,
2026-01-20T15:32:59Z,10.15.69.139,google.com,A,NOERROR,3,79540,0,
2026-01-04T16:58:25Z,172.18.202.132,cloudflare.com,A,NOERROR,2,29792,0,
2026-01-17T09:21:33Z,10.154.157.124,1znj4sz3jrrk11qmlx.io,A,NOERROR,3,80752,0,
2026-01-28T02:01:52Z,192.168.175.29,amazon.in,A,NOERROR,3,11933,0,
2026-01-02T05:22:05Z,172.18.220.194,cloudflare.com,A,NOERROR,2,4117,0,
2026-01-24T06:32:55Z,10.11.129.85,workspace.local,A,NOERROR,3,66874,0,
2026-01-26T13:34:08Z,10.7.231.232,wikipedia.org,A,NOERROR,1,20138,0,
2026-01-16T18:27:41Z,192.168.240.56,example.com,A,NXDOMAIN,0,41046,0,
2026-01-18T20:15:49Z,192.168.208.79,stackoverflow.com,A,NOERROR,1,26359,0,
2026-01-08T17:51:33Z,10.45.64.202,wikipedia.org,A,NOERROR,1,45073,0,
2026-01-10T16:17:25Z,172.31.74.238,google.com,A,NOERROR,2,66812,0,
2026-01-16T05:57:04Z,10.52.181.244,stackoverflow.com,A,NOERROR,2,6445,0,
2026-01-06T18:16:56Z,172.18.73.178,stackoverflow.com,CNAME,NOERROR,1,27257,0,
2026-01-19T13:21:30Z,172.31.161.164,google.com,TXT,NOERROR,2,19001,0,
