timestamp,user,app,src_ip,dest_host,user_agent,auth_method,outcome,fail_reason,src_region,label,attack_type
2026-02-02T06:30:14Z,user035,vpn,10.208.136.28,auth-gw1,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,MFA_TOTP,SUCCESS,,IN-MH,0,
2026-02-04T21:00:36Z,user018,hr_portal,10.170.125.42,auth-gw1,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,PASSWORD,SUCCESS,,IN-KA,0,
2026-02-02T16:42:22Z,user001,hr_portal,10.229.52.232,auth-gw1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,MFA_PUSH,SUCCESS,,IN-MH,0,
2026-02-08T01:59:12Z,user056,wiki,10.244.135.121,auth-gw1,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,MFA_TOTP,SUCCESS,,IN-KA,0,
2026-02-06T00:30:22Z,user078,crm,10.161.6.102,web-portal1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,SSO_SAML,SUCCESS,,IN-DL,0,
2026-02-12T19:11:42Z,user067,crm,10.214.191.131,auth-gw1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,MFA_PUSH,SUCCESS,,IN-MH,0,
2026-02-12T19:38:34Z,user085,hr_portal,10.87.171.87,web-portal1,Mozilla/5.0 (Macintosh; Intel Mac OS X 13_6) Safari/17.0,PASSWORD,SUCCESS,,IN-KA,0,
2026-02-14T21:53:41Z,user100,hr_portal,10.8.96.151,auth-gw1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,MFA_TOTP,SUCCESS,,IN-KA,0,
2026-02-06T13:28:39Z,user052,wiki,10.30.147.254,auth-gw2,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,MFA_PUSH,SUCCESS,,IN-MH,0,
2026-02-04T17:34:21Z,user069,git,10.193.236.12,auth-gw1,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0,SSO_SAML,SUCCESS,,IN-KA,0,
2026-02-09T13:04:57Z,user088,hr_portal,10.222.215.1,auth-gw1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,PASSWORD,SUCCESS,,IN-DL,0,
2026-02-03T03:43:23Z,user011,git,10.4.193.19,web-portal1,Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0,SSO_SAML,SUCCESS,,IN-KA,0,
