timestamp,src_ip,dst_ip,proto,src_port,dst_port,duration_ms,packets,bytes,tcp_flags,label,attack_type
2026-01-23T05:14:58Z,192.168.186.10,10.0.1.15,TCP,62595,53,486,13,252,PA,0,
2026-01-30T09:38:10Z,192.168.82.39,201.18.19.116,TCP,59700,443,857,10,11113,PA,0,
2026-01-15T06:22:04Z,10.158.107.226,192.168.241.54,TCP,27035,443,599,38,6183,PA,0,
2026-01-11T23:21:54Z,94.138.144.46,10.0.0.20,TCP,6902,22,168,5,244,S,1,SSH_BRUTE_FORCE
2026-01-11T12:27:15Z,172.25.206.6,10.0.2.8,TCP,9827,143,1239,13,15078,S,0,
2026-01-02T00:34:45Z,192.168.154.99,10.9.232.80,TCP,63650,143,1987,19,11599,FA,0,
2026-01-16T23:55:57Z,172.18.81.122,192.168.16.127,UDP,39497,8080,347,21,6987,,0,
2026-01-29T15:54:19Z,10.162.207.86,10.0.0.20,UDP,10440,80,1276,18,15074,,0,
2026-01-07T01:34:40Z,172.30.149.79,122.230.215.115,TCP,33840,80,1046,4,11456,FA,0,
2026-01-28T15:43:33Z,171.88.173.253,192.168.74.115,UDP,33824,53,2415,16,4734,,0,
2026-01-23T00:08:32Z,10.197.111.63,61.5.46.38,UDP,19628,110,2968,3,10078,,0,
2026-01-15T17:00:20Z,10.177.160.87,10.0.0.20,TCP,6578,22,2364,5,15095,PA,0,
2026-01-27T12:03:41Z,13.254.227.91,192.168.150.172,TCP,38488,3389,2040,3,14548,A,0,
2026-01-29T12:54:48Z,172.29.206.4,10.0.2.8,TCP,15536,143,646,17,21166,PA,0,
2026-01-03T11:04:14Z,172.27.195.39,195.146.119.34,TCP,5447,25,2219,15,11666,PA,0,
2026-01-26T00:37:06Z,74.215.155.104,172.30.149.79,UDP,22495,445,1150,18,23408,,0,
2026-01-20T03:41:21Z,172.25.16.191,128.159.242.240,TCP,34070,445,769,2,15655,PA,0,
2026-01-28T05:27:17Z,10.157.64.103,166.211.191.254,TCP,3129,53,1941,18,20731,A,0,
2026-01-15T17:40:35Z,199.195.241.208,10.238.189.134,TCP,3970,443,1943,21,10364,FA,0,
2026-01-29T10:01:57Z,192.168.162.109,10.0.1.15,TCP,20020,80,810,26,19088,PA,0,
2026-01-16T08:52:33Z,192.168.162.109,10.98.251.81,UDP,22762,110,1020,29,22263,,0,
2026-01-16T03:47:56Z,10.113.128.87,10.0.1.15,TCP,25971,22,1634,21,10396,A,0,
2026-01-18T18:37:34Z,22.233.106.87,31.32.148.202,TCP,51564,110,1895,19,12502,PA,0,
2026-01-11T02:50:57Z,192.168.87.181,192.168.101.18,UDP,30233,443,1373,24,10853,,0,
2026-01-13T19:17:26Z,148.18.127.133,10.0.0.20,TCP,50612,25,115,6,2437,A,0,
2026-01-09T09:18:59Z,136.253.202.209,192.168.244.110,UDP,4769,445,1579,3,2850,,0,
2026-01-03T02:45:57Z,192.168.55.67,10.0.0.20,TCP,6639,8080,1542,8,4660,S,0,
2026-01-20T10:38:29Z,79.166.1.196,37.241.226.252,TCP,20898,22,1085,7,11349,S,0,
2026-01-08T15:11:32Z,192.168.89.52,96.236.247.58,UDP,30045,53,1257,20,4285,,0,
2026-01-17T01:20:47Z,126.74.188.205,192.168.16.127,TCP,57507,22,15,22,13449,S,0,
2026-01-05T12:32:20Z,192.168.78.129,97.190.223.152,TCP,63118,8080,413,10,7521,FA,0,
2026-01-02T09:37:02Z,192.168.6.44,87.49.47.77,UDP,21226,80,2110,3,5594,,0,
2026-01-11T19:43:53Z,192.168.228.94,154.9.111.53,TCP,7643,22,1481,19,1235,PA,0,
2026-01-24T12:40:03Z,172.18.55.97,10.0.2.8,TCP,47310,22,2208,5,19986,PA,0,
2026-01-08T10:38:45Z,10.98.251.81,10.0.0.10,TCP,44314,443,92,11,18386,PA,0,
2026-01-03T00:30:33Z,19.78.55.142,10.0.1.15,TCP,16144,25,1096,4,21040,FA,0,
2026-01-13T15:22:30Z,10.2.96.12,10.0.1.15,UDP,46624,445,1770,15,3944,,0,
2026-01-10T20:51:59Z,77.35.22.58,192.168.42.195,TCP,47523,3389,607,18,3677,PA,0,
2026-01-25T15:38:26Z,10.90.55.67,192.168.46.51,TCP,18293,25,1634,22,11365,A,0,
2026-01-16T09:48:52Z,192.168.6.44,10.0.1.15,TCP,37132,143,1996,7,13567,A,0,
2026-01-02T10:25:25Z,172.22.133.244,192.168.128.80,UDP,36089,443,298,17,17001,,0,
2026-01-01T06:51:17Z,192.168.16.93,10.0.1.15,TCP,7005,443,1058,6,8424,A,0,
2026-01-29T02:54:39Z,160.90.143.53,199.137.22.171,TCP,63942,143,1249,12,14715,A,0,
2026-01-11T05:03:52Z,10.201.92.154,192.168.7.63,TCP,60067,443,1662,12,24863,PA,0,
2026-01-14T04:59:29Z,192.168.104.23,10.0.1.15,TCP,60320,3389,2168,8,10339,PA,0,
2026-01-05T06:17:06Z,192.168.94.18,10.0.2.8,TCP,45569,25,2402,7,8325,A,0,
2026-01-16T15:22:23Z,172.20.161.190,11.162.131.91,TCP,49924,3389,876,8,27096,PA,0,
2026-01-29T15:28:47Z,172.18.171.81,10.0.0.20,TCP,52937,443,804,9,1943,S,0,
2026-01-02T20:46:33Z,192.168.16.127,10.158.107.226,TCP,38766,80,1381,25,11838,A,0,
2026-01-28T07:04:48Z,10.9.232.80,10.0.2.8,UDP,45841,443,1862,12,10239,,0,
2026-01-01T21:05:16Z,10.113.182.137,10.0.0.20,TCP,42957,3389,404,13,18785,S,0,
2026-01-14T15:39:03Z,192.168.55.67,10.0.2.8,UDP,61814,110,861,2,5292,,0,
2026-01-11T17:32:37Z,10.175.246.98,10.0.2.8,TCP,46497,3389,1038,3,5442,PA,0,
2026-01-26T00:32:02Z,143.47.97.162,93.216.152.157,TCP,1655,3389,3297,2,7373,FA,0,
2026-01-05T03:16:49Z,29.195.98.199,10.0.0.10,TCP,46713,3389,1070,2,6582,FA,0,
2026-01-28T16:02:51Z,10.132.10.174,10.0.2.8,TCP,57985,8080,476,13,18751,A,0,
2026-01-27T07:01:09Z,10.228.246.7,10.0.0.10,UDP,63823,22,304,19,7464,,0,
2026-01-30T15:03:10Z,10.175.246.98,10.0.2.8,TCP,39812,25,2378,9,20460,PA,0,
2026-01-21T23:51:16Z,172.17.34.200,40.11.190.79,TCP,22410,22,1745,10,10857,S,0,
2026-01-23T03:30:53Z,153.237.223.125,117.84.195.254,TCP,35414,25,1423,14,11112,A,0,
2026-01-25T01:14:16Z,192.168.128.80,199.22.4.123,TCP,2204,445,2122,1,21767,A,0,
2026-01-06T10:22:51Z,10.227.150.206,192.168.88.120,TCP,16972,143,1080,3,16723,PA,0,
2026-01-21T09:51:00Z,10.5.195.145,11.114.42.157,TCP,24846,443,161,8,2268,PA,1,BEACONING
2026-01-17T23:44:23Z,10.113.182.137,10.0.1.15,TCP,45068,110,1206,2,1522,PA,0,
2026-01-26T05:20:33Z,10.201.92.154,80.71.159.192,TCP,47908,8080,718,12,7804,A,0,
2026-01-21T08:22:00Z,10.5.195.145,11.114.42.157,TCP,15547,443,114,11,1686,PA,1,BEACONING
2026-01-09T22:57:14Z,172.26.3.44,192.168.78.129,TCP,9711,443,1102,21,18519,PA,0,
2026-01-14T00:39:54Z,172.18.55.97,10.138.32.59,TCP,48808,445,452,12,1030,PA,0,
2026-01-11T16:57:11Z,10.173.160.47,192.168.241.54,TCP,41018,8080,904,22,14458,PA,0,
2026-01-01T11:20:11Z,192.168.166.43,10.0.0.20,TCP,36749,80,2077,11,121,FA,0,
2026-01-26T12:19:15Z,10.197.111.63,10.0.0.20,UDP,42033,25,957,4,8476,,0,
2026-01-19T11:20:29Z,10.90.55.67,192.168.19.211,TCP,36081,443,1002,14,15230,A,0,
2026-01-14T05:24:25Z,192.168.188.247,10.138.32.59,TCP,55158,143,1980,1,14430,A,0,
2026-01-08T09:28:37Z,191.221.134.231,69.176.182.209,TCP,59790,8080,1183,16,6134,PA,0,
2026-01-18T07:33:49Z,104.52.24.210,10.0.0.10,UDP,28158,8080,1199,2,1309,,0,
2026-01-20T16:46:47Z,10.114.75.140,192.168.87.181,TCP,52849,143,655,23,12774,PA,0,
2026-01-19T21:24:37Z,10.218.187.48,10.0.1.15,TCP,3010,110,876,8,29217,PA,0,
2026-01-09T23:30:16Z,192.168.141.27,10.0.0.10,TCP,59767,32232,478,28,19477,S,0,
2026-01-11T17:27:16Z,192.168.19.211,131.232.131.125,UDP,16747,445,1343,15,6795,,0,
2026-01-24T10:14:45Z,72.17.181.244,10.0.0.10,TCP,2051,22,980,24,9019,PA,0,
2026-01-21T00:14:09Z,10.170.79.68,10.224.169.203,UDP,4471,53,110,1,6607,,0,
2026-01-19T05:15:19Z,192.168.74.115,10.53.112.36,UDP,7044,110,1243,15,13199,,0,
2026-01-13T16:30:32Z,10.157.64.103,10.0.1.15,TCP,60660,22,756,5,1292,R,0,
2026-01-02T00:56:24Z,148.85.5.146,10.0.2.8,UDP,52230,445,415,7,5339,,0,
2026-01-09T04:58:25Z,10.89.118.82,10.0.0.10,UDP,60424,143,2913,3,7828,,0,
2026-01-31T05:46:48Z,10.89.118.82,10.0.0.10,TCP,9906,53,2034,13,7704,PA,0,
2026-01-30T13:51:28Z,10.247.230.9,10.0.2.8,TCP,48912,443,437,9,14928,A,0,
2026-01-04T00:46:34Z,10.222.191.33,128.239.180.103,TCP,7872,53,1585,12,4729,FA,0,
2026-01-30T11:18:22Z,10.144.159.140,172.21.244.95,TCP,64023,25,399,9,625,PA,0,
2026-01-02T02:03:44Z,18.129.199.61,203.126.65.183,UDP,56223,80,2454,8,5968,,0,
2026-01-22T07:00:23Z,172.22.160.201,10.0.0.10,TCP,31735,8080,1686,34,10110,PA,0,
2026-01-27T05:49:20Z,192.168.137.35,172.20.22.167,UDP,19450,53,232,7,5703,,0,
2026-01-09T07:47:24Z,10.177.160.87,192.168.232.14,UDP,36937,53,321,14,10133,,0,
2026-01-01T13:33:07Z,165.202.232.87,10.0.1.15,TCP,52676,80,644,14,25036,R,0,
2026-01-15T20:28:10Z,10.19.31.34,10.0.0.10,TCP,23141,110,597,27,2145,PA,0,
2026-01-06T00:24:02Z,95.163.108.22,192.168.133.217,TCP,25228,3389,1355,17,314,PA,0,
2026-01-27T13:07:08Z,192.168.141.27,10.0.0.10,TCP,4905,443,1445,17,8927,PA,0,
2026-01-24T13:45:55Z,10.14.155.241,168.113.81.182,TCP,59614,445,761,28,7257,PA,0,
2026-01-04T16:08:43Z,192.168.55.67,10.175.246.98,TCP,45201,40678,755,14,5838,PA,0,
2026-01-14T19:20:37Z,141.172.113.179,10.0.1.15,TCP,48940,8080,612,19,4952,A,0,
2026-01-22T19:11:34Z,192.168.188.247,10.0.2.8,UDP,16251,443,1501,6,3584,,0,
2026-01-14T06:52:50Z,172.18.55.97,10.135.55.54,TCP,45226,53,103,10,867,PA,0,
2026-01-10T15:54:57Z,192.168.154.99,10.0.1.15,TCP,64477,80,594,7,15333,A,0,
2026-01-26T05:54:20Z,192.168.174.177,201.131.210.3,TCP,8020,110,1011,8,1974,PA,0,
2026-01-01T10:24:21Z,172.21.244.95,105.129.129.180,TCP,14933,443,845,15,6357,R,0,
2026-01-02T00:27:38Z,172.21.224.126,10.0.0.10,TCP,48253,80,1846,18,166,PA,0,
2026-01-15T11:49:19Z,10.240.78.193,10.0.0.20,TCP,14087,25,1756,17,4942,S,0,
2026-01-30T04:44:08Z,10.2.96.12,10.224.169.203,UDP,36030,8080,1797,12,13695,,0,
2026-01-15T19:15:05Z,10.90.55.67,10.0.0.10,UDP,22377,53,1636,10,16889,,0,
2026-01-28T06:10:40Z,71.255.146.211,10.0.1.15,UDP,18298,53,1027,19,9448,,0,
2026-01-29T18:07:07Z,10.100.121.179,10.0.2.8,UDP,46417,443,425,8,16817,,0,
2026-01-16T12:48:39Z,192.168.94.18,172.25.16.191,UDP,55318,443,942,2,6627,,0,
2026-01-12T00:01:55Z,131.100.54.18,192.168.74.115,TCP,41241,445,1366,3,4472,PA,0,
2026-01-27T18:58:09Z,169.97.51.139,10.177.160.87,TCP,33841,3389,1698,20,6206,PA,0,
2026-01-11T17:42:43Z,172.27.131.210,164.41.0.66,TCP,63610,443,1050,24,8769,FA,0,
2026-01-21T03:01:57Z,172.23.236.221,10.0.2.8,TCP,38693,25,528,1,14371,R,0,
2026-01-10T13:34:05Z,10.113.182.137,172.20.244.228,UDP,10105,445,2743,8,346,,0,
2026-01-08T15:23:05Z,172.21.224.126,10.0.1.15,TCP,25256,25,2957,11,622,R,0,
2026-01-20T04:59:10Z,172.31.73.102,172.29.91.135,TCP,11528,445,754,11,7118,S,0,
2026-01-31T18:54:08Z,10.87.123.180,10.0.1.15,TCP,31761,445,1411,24,16969,FA,0,
2026-01-26T11:44:22Z,10.162.207.86,10.0.1.15,TCP,47560,22,2333,1,17693,A,0,
2026-01-12T02:08:40Z,10.114.75.140,10.0.0.20,TCP,29886,3389,942,11,8977,A,0,
2026-01-27T19:58:20Z,172.20.87.135,192.168.194.34,TCP,57949,3389,988,10,11623,A,0,
2026-01-16T19:53:38Z,192.168.33.138,10.138.32.59,TCP,42422,110,2056,18,6275,PA,0,
2026-01-12T07:36:19Z,10.132.10.174,140.190.218.183,TCP,59634,25,688,11,22356,PA,0,
2026-01-17T05:07:50Z,172.28.105.55,192.168.113.170,TCP,50323,445,1730,32,7099,FA,0,
2026-01-09T13:28:37Z,172.25.16.191,10.0.0.20,TCP,60614,143,1334,19,1452,PA,0,
2026-01-19T06:55:31Z,10.53.112.36,10.0.2.8,UDP,12160,22,400,23,21216,,0,
2026-01-21T09:55:00Z,10.5.195.145,11.114.42.157,TCP,63545,443,58,12,1833,PA,1,BEACONING
2026-01-25T21:57:07Z,192.168.11.163,51.171.55.207,TCP,11526,443,931,15,13331,A,0,
